k = 1       156,103     89,588      72,019      72,019
k = 2       132,605     74,854      59,351      59,351
k = 3       137,463     85,363      68,537      68,537
k = 4       137,265     87,730      69,231      69,231
k = 5       136,761     76,424      55,291      55,277
k = 6       151,938     86,724      62,519      62,519
k = 7       141,613     79,854      62,213      62,213
k = 8       168,086     95,361      80,844      80,844
k = 9       125,153     73,605      58,771      58,771
k = 10      124,446     72,399      61,419      61,419
