k = 1       4,431       3,066       2,986       2,986
k = 2       8,567       4,897       3,260       2,980
k = 3       6,331       3,883       3,600       3,600
k = 4       9,478       5,122       3,336       3,040
k = 5       4,340       2,571       2,206       2,206
k = 6       6,766       3,601       3,016       3,016
k = 7       11,10       16,357      4,175       3,900
k = 8       4,203       2,151       1,638       1,638
k = 9       3,530       2,097       1,992       1,992
k = 10      5,545       3,192       2,116       1,995
